Java < -> Javascript for non-Applets ?	^ G G ^ P ^ ,
I've written fairly large sized app in GWT , and i have to say that i'm even more impressed by GWT than i was when the project started . My general ' feel ' of the platform is that things are really well thought out , and they don't do things unless they can do it well , and can do it well on all browsers ( IE users are still your users ! ) Now , keep in mind that what GWT really excels at is the creation of large , highly dynamic single-page style webapps . If your goal is to enhance an otherwise static page with some javascript effects , than GWT is massive overkill ( gquery may change this , but i don't have experience with gquery ) Some features I enjoy include : The ability to share code between the server side and the client side . ( if your server side is written in java , of course ) . I didn't expect to use this a lot of this at first , but in practice , it can really save a lot of code duplication . However , i find that in general , this only works with code that has been written with GWT in mind - using code that was not written with GWT in mind often doesn't work well . This is because GWT only has a subset of the classes in the JDK , and in javascript , you have to care about performance a lot more than you do on the server side . It aims to achieve the fastest javascript , faster than you would ever write by hand ( because if you did write it by hand , the code would be unmaintainable ) . The unfortunate reality is that the browsers that a lot of people use have incredibly slow javascript engines , so the performance of your javascript code matters a lot . Gwt's compiler is a real optimizing compiler - it will inline methods , intern all your strings . devirtualize your method calls when possible , etc . Because you are compiling for each browser and locale , the compiler can also inline browser-specific and locale-specific code . This Google I / O presentation has some benchmarks a few slides in . It will also automatically sprite your images together to minimize the number of http requests needed , again improving the speed of your site . GWT 2.0 will allow you to combine together arbitrary files . most of the files created by gwt have a strong hash as their filename , which lets you set the files to be cached forever , but not worry about people having old versions if the file changes The code splitting in GWT 2.0 is very impressive and would be very difficult to do by hand . As the size of your application grows , dealing with the size of your javascript matters more and more , and you need to be able to split it into chunks You are coding in a statically typed language . I know some people prefer dynamic typing , but i like to compare this debate to the emacs vs vi debate - there are a lot of smart people on both camps , and arguing on the internet isn't going to change anyone's preference You get to use a lot of the great tools that exist in the java ecosystem , which are generally a lot more mature than the equivilant javascript tools . - junit , java IDEs , java debuggers , refactoring , etc .	L V R A A N P ^ , & O V P V D L R R A P ^ P O V R D N V , D A , N , P D N V D N V R R V T , & O V V N P O V V O R , & V V O R P D N , ^ N V R D N , , R , V P N P O ^ R V P V D N P A , R A A N N , P D N V P V D R A N P D ^ N , P ^ V A N , ^ V V D , & O V V N P ^ , O V O V V , D N P V N P D N N & D N N , , P D N N V V P ^ , P N , , O V V P V D D N P D P R , & P N , O V R V D N P N N , R , O V O P A , D A V P N O V V V P ^ P N , V N O V R V P ^ P N R V V R , D V P ^ R V D N P D N P D ^ , & P ^ , O V P V P N D N R P O V P D N N , O V P V D A ^ , R P O V R V P N , & & O V V O P N , D N V V A , , D A N V P D N P D N P N V V R A ^ N , P D N P D ^ N V D N , Z N V D A V N , O V A N , N X D N , V D N V R A , G , P O V V P D N & N , D N V R V A & A N , D ^ G , G N V D N D A N P , O V R R P D N R P V D N P ^ N V , R V D N P D N , ^ $ V V O P V R A N , R P D N V P ^ V D A N P D N , O V O V D N P V V R , & R V P N V A N P D N V D N V P ^ $ V R A & V V R A P V P N , P D N P D N V , V P D N P D ^ V R & R , & O V P V A P V O P N O V V P D R V N , O V D N V A N , & O V P V D N P D N P ^ N , X V D N P A N P D N , & V P D N V V P V S N O V P V D N P D A N P V P D ^ N , O V R D N R A P D N ^ N , G ^ , ^ ^ , ^ N , V , G ,
Oh , and i guess the biggest downsides is : - compile time - hosted mode is great , but you can't currently use it for the system non-default browser - GWT 2.0 and out of process hosted mode should fix this though . - The java language can be verbose at times , although that is far from a showstopper . ( gwt for scala would be awfully nice :) )	! , & O V D A N V , , V N , V N V A , & O V R V O P D N A N , ^ $ & R P N V N V V D P , , D ^ N V V V P N , P O V A P D N , , ^ P ^ V V R A E ,
If you have familiarity with both JavaScript and Java , you really are perfectly suited to get the most out of GWT . What many people do not realize is that GWT is pretty well layered and that you can really decide which of those levels you want to work at . For instance , I sometimes write directly against the DOM library for projects . Thats a lot like writing JavaScript code except you're able to use an IDE properly and get the power of a compiler . From the compiler I get static type checking , lots of good compiler optimizations , and ( actually my favorite for maintaining code ) debug mode assertions . Nobody ever really makes much of the ability to do assertions , but it's so nice to be able to compile a debug mode that does expensive checks to tease out bugs and then turn off the debug mode and have the code just evaporate . ( Not just the assert statements go away , but all the code reachable from the asserts also gets compiled out ) . Other times , I write code against GWT's UI library . That code looks a bit like swing or SWT code so it is most comfortable to pure java developers . Working at this level , you don't have to worry as much about the DOM and it is usually possible to construct an application without writing any JavaScript . You do occasionally run into a bug where something doesn't work consistently on a particular browser . The GWT folks consider those bugs . You can kind of pick what level of abstraction you want to work at . There are tradeoffs at each level , but GWT should support them . Also , full disclosure : I'm the dude in the video that Chi linked above , so you might say I'm pretty attached to GWT .	& O V N P D ^ & ^ , O R V R V P V D A N P ^ , D A N V R V V D ^ V R R A & P O V R V D P O V O V P V P , P N , O R V R P D ^ N P N , L D N P V ^ N & L A P V D ^ R & V D N P D N , P D N O V A N V , N P A N N , & , R D N P V N , V N N , O R R V R P D N P V N , & L R A P V A P V D N N O V A N P V T N & R V T D N N & V D N R V , , R R D V N V R , & X D N N P D V R V V T , , A N , O V N P L ^ N , D N V D N P ^ & ^ N P O V R A P A ^ N , V P D N , O V V P V R A P D ^ & O V R A P V D N P V D ^ , O V R V P D N R N V V R P D A N , D ^ N V D N , O V N P V D N P N O V P V P , X V N P D N , & ^ V V O , R , A N , L D N P D N P ^ V P , P O V V L R V P ^ ,
I have created two quite substantial GWT applications in my three years at Google . It delivers what it promises - my apps were far more interactive and far more ajax-y than my knowledge of Javascript and my Javascript tooling would have let me produce using other tools . I also found the apps more interactive and more fun than the purely server-side alternatives I had used before moving to it . It is not free of warts , but it is a very productive environment to do the kinds of apps I do . And do watch Kelly's presentation . It , and some of the others from I / O , give a really clear idea of what GWT can do . You will pretty quickly get a good idea of whether it is the right tool for the task you are envisioning .	O V V $ R A ^ N P D $ N P ^ , O V O O V , D N V R R A & R A G P D N P ^ & D ^ N V V V O V V A N , O R V D N R A & A N P D R A N O V V P V P O , O V R A P N , & O V D R A N P V D N P V O V , & V V Z N , O , & D P D N P O , G , V D R A N P D ^ V V , O V R R V D A N P & O V D A N P D N O V V ,
I have been developing a green field application on GWT for a year and it has been surprisingly pleasant . The subset of Java used in GWT causes some headaches but nothing major after all . I didn't have too much JavaScript knowledge when I joined the project but I think that was not a problem . The common GWT related problems I have encountered had usually something to do with Ext GWT / GXT framework or FCKEditor integration .	O V V V D A N N P ^ P D N & O V V R A , D N P ^ V P ^ V D N & R A P X , O V V R A ^ N R O V D N & O V O V R D N , D ^ ^ A N G V V V R N P V P ^ ^ , ^ N & ^ N ,
Simply GWT rocks google is making " google wave " fully on GWT .	R ^ N ^ V V , ^ N , R P ^ ,
I think GWT does what it says on the tin ... Top 5 Reasons for choosing GWT : Tapestry can be overly complicated and the learning curve is pretty steep for new developers who are starting out  joining the team . Esp . on larger projects . I found that I could develop " richer " applications using GWT seeing that my strength is Java not Javascript . In order for me to implement similar functionality using Tapestry I would have to hand write Javascript which would later become a maintenance nightmare . Browser compatibility , I would spend large amounts of time trying to get my hand written Javascirpt to work on all the different browsers ( like I said Javascript is not my strength :-) The GWT Compiler hides me from this which results in me spending more time writing features . Back button blues , GWT's History listener is handles the browsers back button in comparison to Tapestry . GWT has a smaller footprint because only the data is being sent across the wire apposed to refreshing the entire page . The list goes on but all in all , I am very happy to have made the change and have not looked back since .	O V ^ V O O V P D N , A $ N P V ^ , ^ V V R A & D V N V R A P A N O V V T , V D N , ! , P A N , O V P O V V , A , N V ^ V P D N V ^ R ^ , P N P O P V A N V ^ O V V P V V V O V R V D N N , N N , O V V A N P N V P V D N V ^ P N P X D A N , P O V ^ V R D N E D ^ N V O P D D V P O V A N V N , R N N , Z N N V V D S N N P N P ^ , ^ V D A N & R D N V V V P D N V P V D A N , D N V P & R P X , O V R A P V V D N & V R V R P ,
I didn't know much Javascript when I tried to create my website . In fact , that is why I had been putting off creating the website . So for me , GWT made a huge difference as it enabled me to create a dynamic , cross-browser website that I definitely would not have been able to create without putting in significant effort into learning Javascript .	O V V A ^ R O V P V D N , P N , O V R O V V V T V D N , P P O , ^ V D A N P O V O P V D A , A N P O R V R V V A P V P V P A N P V ^ ,
I've done a few projects over a few years and it is fantastic . Going back to JS / JSP / request based framework is really horrible . Don't want to give up compile time checks , unit tests in my IDE , IDE refactoring etc , sharing code between different tiers , solid set of widgets , incredibly well thought out framework . Can do so much more so much faster in a maintainable way .	L V D A N P D A N & O V A , V R P ^ , ^ , N V N V R A , V V P V T V N V , N N P D ^ , ^ N G , V N P A N , A N P N , R R V T N , V V R R R R R R P D A N ,
There is a steep learning curve , but for really dynamic ui applications , there is just no way that you can build from hand in javascript as efficiently . What I mean in particular is for instance an application frontend for a service where all the searchable fields and result type s and length were completely unknown . For this type of thing , a dynamic runtime defined ui , there is nothing better than GWT in my opinion . The drawbacks are the steep learning curve ( especially for non-swing Java programmers , traditional request / response servlet api guys and gals ) and getting cornered into GWT once you make that decision .	X V D A V N , & P R A ^ N , X V R D N P O V V P N P ^ P R , O O V P A V P N D N N P D N R X D A N & N N G & N V R A , P D N P N , D A N A N , X V V R P ^ P D N , D N V D A V N , R P A ^ N , A N , N N ^ N & N , & V V P ^ R O V D N ,
